,COUNTYNS,GEOID,ALAND,AWATER,NAME,State,B19049_001E,B19049_001M,B19049_002E,B19049_002M,B19049_003E,B19049_003M,B19049_004E,B19049_004M,B19049_005E,B19049_005M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19053_001E,B19053_001M,B19053_002E,B19053_002M,B19053_003E,B19053_003M,B19053_calc_pctSelfempE,B19053_calc_pctSelfempM,Shape__Area,Shape__Length,OBJECTID
21,00395408,16043,4827633116,83440652,Fremont County,Idaho,56825,4702,29773.0,16582.0,56406,4631,68390,6074,42946,5272,,,,,,,,,65135.0,49560.0,57461.0,8885.0,58519,5037,38750.0,13104.0,4464,216,782,139,3682,245,17.5,2.9962059549749,9566769180.49219,551261.981460081,573.0
22,00395442,16045,1449796224,12491930,Gem County,Idaho,53720,4750,55156.0,38231.0,49183,11935,68826,5325,42665,5676,,,,,,,,,63413.0,10084.0,,,52200,4724,63298.0,22272.0,6822,253,949,195,5873,307,13.9,2.81145806549343,2832547483.89453,344511.809393695,574.0
23,00395441,16047,1888935208,12470063,Gooding County,Idaho,50057,8237,,,54036,19525,61750,3497,35923,7617,,,76552.0,31825.0,,,,,,,58272.0,29433.0,49926,9502,45938.0,11163.0,5615,159,720,215,4895,257,12.8,3.81177413911698,3553259482.33203,279236.40187441,575.0
24,00395699,16049,21956620029,67533572,Idaho County,Idaho,44951,3402,47375.0,19976.0,66588,11952,52647,7547,34933,2731,,,60386.0,11419.0,57727.0,30223.0,,,,,41184.0,16290.0,45142,4100,,,6462,245,1006,160,5456,256,15.6,2.40463255839835,45381168446.5156,1250793.01596888,576.0
25,00399751,16051,2832619466,31166194,Jefferson County,Idaho,65577,3698,46761.0,14509.0,67089,7277,80948,6786,49975,7014,,,98368.0,37953.0,,,,,53289.0,13320.0,72917.0,41641.0,67776,4491,52411.0,17557.0,8825,240,1669,245,7156,275,18.9,2.72814545566021,5502709362.88281,373556.408451843,577.0
26,00395662,16053,1547629731,12908802,Jerome County,Idaho,55521,3380,31053.0,3465.0,55747,4467,64906,7752,38929,7099,,,121250.0,38367.0,,,,,57202.0,24923.0,68333.0,12962.0,61185,3347,49788.0,5947.0,8004,174,1253,210,6751,238,15.7,2.60152311877823,2890021327.23828,247021.60924728,578.0
27,00395661,16055,3205833858,184447536,Kootenai County,Idaho,60903,2525,53268.0,6180.0,66689,2266,70466,5228,48882,3178,43048.0,14560.0,36417.0,30364.0,31297.0,16949.0,83792.0,1008.0,59384.0,17265.0,53854.0,23714.0,61776,2585,69839.0,7600.0,64475,668,8695,759,55780,910,13.5,1.16887930439512,7473151830.89063,370530.594880153,579.0
28,00395613,16057,2786483032,2369979,Latah County,Idaho,51312,2506,17702.0,5407.0,59690,4637,74991,8514,51100,4228,45222.0,6433.0,,,,,,,30500.0,28958.0,46480.0,23763.0,53485,2290,26441.0,3633.0,15737,314,1882,271,13855,398,12.0,1.705443866365,5952588864.23438,347700.934228793,580.0
29,00399754,16059,11819914566,14105634,Lemhi County,Idaho,38819,4174,,,58462,8940,46637,6961,28639,7825,,,,,,,,,,,78454.0,70508.0,38470,3841,,,3717,194,682,157,3035,233,18.3,4.11384555689065,23623556339.5977,1140495.72192777,581.0
30,00395622,16061,1240141960,2340247,Lewis County,Idaho,42370,3999,32188.0,28166.0,61250,8525,48889,8599,34871,3008,,,27708.0,16079.0,48750.0,13354.0,,,,,65893.0,55889.0,44018,4816,,,1649,42,183,31,1466,51,11.1,1.8585563360133,2596361932.44531,333663.187177549,582.0
31,00395624,16063,3111517506,11588561,Lincoln County,Idaho,52363,3188,30625.0,24714.0,51034,3645,68415,4657,31594,1367,,,64167.0,30280.0,,,,,67841.0,3541.0,65000.0,9965.0,53159,3337,51684.0,6085.0,1804,71,231,61,1573,96,12.8,3.34360852030321,5842213083.42969,328271.975211653,583.0
32,00394803,16065,1215396326,10500895,Madison County,Idaho,44419,4005,21974.0,2198.0,48806,2288,92642,12097,53051,9664,,,,,21692.0,10258.0,,,39929.0,28806.0,53750.0,53420.0,45634,3743,32234.0,18520.0,11858,409,1836,338,10022,479,15.5,2.7999217099335,2352708348.69141,239428.56387047,584.0
33,00394807,16067,1960610406,13928528,Minidoka County,Idaho,53011,2954,33021.0,25009.0,54119,4506,58810,2528,38107,8666,,,,,,,,,47742.0,23261.0,37717.0,16155.0,55501,3249,48084.0,7315.0,7456,217,929,196,6527,268,12.5,2.60362330225511,3676104527.70313,315096.189307707,585.0
34,00399394,16069,2197139835,21252880,Nez Perce County,Idaho,57099,4933,30579.0,7679.0,67528,12413,71313,5220,44653,7299,,,44352.0,9779.0,95673.0,94898.0,,,,,29167.0,29078.0,58378,5305,50947.0,26686.0,16548,313,1587,319,14961,450,9.6,1.91917178592025,4650886848.34375,409297.157357239,586.0
35,00399759,16071,3105269247,3995240,Oneida County,Idaho,54484,8761,,,71745,3058,58942,10387,39821,5577,,,,,,,,,,,,,57930,7611,29159.0,5054.0,1715,85,180,57,1535,100,10.5,3.28265420413904,5668595448.64453,372020.48180449,587.0
36,00399760,16073,19860558063,74129063,Owyhee County,Idaho,48601,7189,29697.0,11938.0,59044,10799,54233,6079,33363,3614,,,40313.0,25952.0,,,,,36146.0,18158.0,,,51710,5575,34911.0,9455.0,4429,125,687,138,3742,172,15.5,3.08491979642421,36793089937.918,942939.648838431,588.0
37,00394896,16075,1053849237,8872160,Payette County,Idaho,52788,4101,38295.0,7873.0,72049,8799,62176,10477,44268,6087,,,,,,,,,56818.0,37937.0,56333.0,22392.0,50352,4567,76875.0,12176.0,9086,201,1274,251,7812,333,14.0,2.74502208587501,2054749124.27344,237932.453977818,589.0
38,00394951,16077,3635892401,99205466,Power County,Idaho,51014,8845,23750.0,8664.0,62021,4900,50809,12311,33142,14646,,,43913.0,16547.0,,,,,70365.0,30170.0,79438.0,35008.0,46344,12361,54302.0,11172.0,2693,160,386,128,2307,181,14.3,4.67615158401858,6918117165.125,496627.412650148,590.0
39,01702379,16079,6830898576,13962457,Shoshone County,Idaho,40483,3694,32045.0,7692.0,46250,6672,50922,8059,32267,2998,,,23194.0,22862.0,,,,,,,,,41818,3441,14050.0,11503.0,5436,205,355,88,5081,218,6.5,1.5999944541874,14906080347.1563,688608.459971673,591.0
40,00399297,16081,1163139971,2868473,Teton County,Idaho,73274,8027,23871.0,5847.0,78542,17657,85160,24713,57297,16701,,,,,,,,,78033.0,14459.0,68304.0,64129.0,77575,10083,46750.0,16919.0,4290,255,1067,238,3223,304,24.9,5.34717471518438,2235944542.73047,233752.639072972,592.0
41,00399334,16083,4977206090,18070790,Twin Falls County,Idaho,53363,2342,43631.0,8007.0,59135,3496,66239,3664,38086,3466,,,60461.0,30966.0,43520.0,16600.0,,,70552.0,25020.0,41644.0,3693.0,54377,2502,51243.0,6575.0,31758,456,4209,555,27549,697,13.3,1.73719917805279,9153467120.16797,506547.374194522,593.0
42,00399756,16085,9492613296,177110436,Valley County,Idaho,63115,10879,75972.0,31229.0,87578,32861,65807,11381,44688,10820,,,,,,,,,,,,,64508,10675,,,3920,405,724,254,3196,350,18.5,6.19224708654513,19185331447.1641,749363.843288854,594.0
43,00399757,16087,3762870369,53228012,Washington County,Idaho,42126,4048,,,50750,9981,53125,9069,35290,4704,,,14183.0,7166.0,,,,,,,58273.0,12181.0,41364,4998,50037.0,19732.0,4263,137,661,121,3602,185,15.5,2.79429401266367,7490258500.83594,407416.194230656,595.0
0,00424202,17001,2214826188,41754317,Adams County,Illinois,55052,2005,38455.0,10321.0,61262,3249,73143,3828,39072,2887,25877.0,7477.0,55417.0,47832.0,112552.0,27492.0,,,250001.0,,51940.0,37498.0,56138,1923,80100.0,28066.0,27199,396,3264,302,23935,507,12.0,1.09650218512939,3848623691.82031,251717.284995913,596.0
1,00424203,17003,609667765,44639203,Alexander County,Illinois,34709,4890,38750.0,17349.0,31250,13545,33618,12256,35625,5527,29175.0,3788.0,,,,,,,,,,,41038,3229,,,2252,182,123,38,2129,187,5.5,1.62863163337346,1032933890.91797,225134.935580302,597.0
2,00424204,17005,985065096,6462629,Bond County,Illinois,53568,4789,24243.0,8536.0,61176,6601,60952,13029,48364,7932,23308.0,13036.0,,,,,,,,,,,54755,6457,,,6359,286,749,142,5610,307,11.8,2.16930930128711,1638842889.61328,168336.677182114,598.0
3,00424205,17007,727114618,3360626,Boone County,Illinois,70396,3864,53333.0,12510.0,79299,5983,86856,11470,42798,7637,73776.0,27589.0,,,,,,,71213.0,25933.0,,,71415,5174,65364.0,16203.0,18799,323,2004,343,16795,438,10.7,1.81534854358568,1337128128.16016,154832.148953564,599.0
4,00424206,17009,791828626,4144346,Brown County,Illinois,60694,8550,62617.0,47659.0,60000,13343,66932,19553,38365,6667,,,,,,,,,,,,,61806,8051,,,2090,181,304,101,1786,169,14.5,4.66547040641149,1356503546.10547,174527.649609939,600.0
5,00424207,17011,2250884551,11523914,Bureau County,Illinois,55549,2812,43224.0,3955.0,60653,4562,71063,5360,45374,3135,,,101458.0,1476.0,37404.0,33812.0,,,65909.0,24119.0,56250.0,42766.0,55613,3064,54792.0,6744.0,13801,253,1388,164,12413,276,10.1,1.17392997985804,4024838247.72266,282615.618243547,601.0
6,00424208,17013,657415184,77051402,Calhoun County,Illinois,66602,8219,26250.0,5799.0,83125,25720,82083,29979,49018,5704,,,,,,,,,,,,,66016,8024,,,1661,91,239,61,1422,92,14.4,3.58688103148832,1223635365.73047,231411.204501985,602.0
7,00424209,17015,1153597401,55881822,Carroll County,Illinois,52813,3815,31989.0,9130.0,54100,12572,63381,6428,42591,2467,,,,,19231.0,17484.0,,,,,93750.0,38686.0,53487,3657,42837.0,6502.0,6511,276,897,137,5614,301,13.8,2.02146575168301,2196320016.89063,215119.12590783,603.0
8,00424210,17017,973198204,20569928,Cass County,Illinois,53899,2513,25575.0,2867.0,59583,7121,67902,4143,41149,2904,,,,,,,,,64219.0,30952.0,53875.0,34540.0,54648,3213,44258.0,14479.0,5068,159,538,118,4530,188,10.6,2.30439180578146,1694165995.95703,233853.410729405,604.0
9,00424211,17019,2579896781,6111775,Champaign County,Illinois,53936,1422,15542.0,2941.0,55813,2817,81402,5243,55608,2792,32715.0,2917.0,,,25289.0,2402.0,,,47454.0,10389.0,51678.0,15446.0,63661,2448,40222.0,6599.0,83059,997,8905,723,74154,1172,10.7,0.860899742654217,4430075397.72266,270356.966998535,605.0
10,00424212,17021,1837569687,16227346,Christian County,Illinois,52120,2169,46009.0,9901.0,57731,6741,62933,5239,37248,3983,,,,,,,,,,,45721.0,34988.0,52758,2697,176400.0,99970.0,13977,285,1432,271,12545,384,10.2,1.92761204785534,3121644974.04297,258902.588321088,606.0
11,00424213,17023,1298554904,8771353,Clark County,Illinois,59481,4552,28102.0,8938.0,69741,9053,69005,6005,50766,10767,,,,,,,,,,,54706.0,36240.0,59830,4906,,,6726,229,904,165,5822,289,13.4,2.41010905181623,2188155608.90234,213842.228582278,607.0
12,00424214,17025,1213022841,3064720,Clay County,Illinois,52167,4104,65281.0,24565.0,58830,9165,67538,9722,38149,4016,,,58482.0,650.0,,,,,,,,,52473,4098,,,5607,231,783,169,4824,241,14.0,2.95867162498231,2002592593.38281,210001.648676988,608.0
13,00424215,17027,1227502166,75634262,Clinton County,Illinois,67179,3084,44079.0,9143.0,81258,4270,76682,3076,43227,5652,,,,,93750.0,32867.0,,,39632.0,36379.0,,,66936,3126,52708.0,42672.0,14596,243,1763,247,12833,351,12.1,1.68025415260001,2137170202.25781,268750.542475606,609.0
14,00424216,17029,1316418028,4650074,Coles County,Illinois,46411,2692,26182.0,3430.0,50905,3491,58427,7717,42835,6057,36176.0,7958.0,95156.0,68492.0,36250.0,22395.0,,,28500.0,22153.0,,,47982,2628,29000.0,18528.0,20972,393,2245,284,18727,433,10.7,1.33924647873705,2222940620.47656,202558.109780486,610.0
15,01784766,17031,2447350649,1786331385,Cook County,Illinois,67886,571,36314.0,1516.0,77244,854,79584,884,45168,728,41902.0,643.0,55020.0,9310.0,87414.0,2881.0,82887.0,41463.0,54339.0,1106.0,65402.0,1981.0,86637,619,57487.0,784.0,1991474,3683,185428,3054,1806046,4798,9.3,0.152383892502746,4471631929.66406,383947.203978607,611.0
16,00424218,17033,1149031261,5744821,Crawford County,Illinois,50968,2083,20341.0,13484.0,65769,8881,63973,7349,38294,3468,,,,,,,,,,,,,50534,2298,,,7704,336,787,141,6917,323,10.2,1.77516114085071,1914867696.3125,210889.097109455,612.0
17,00424219,17035,895989975,2538006,Cumberland County,Illinois,59271,7235,30962.0,11083.0,73197,5639,73796,5721,34448,5819,,,,,,,,,,,67788.0,40110.0,58708,7112,,,4229,119,627,130,3602,170,14.8,3.04557101478262,1501355217.75391,161613.233568937,613.0
18,00422190,17037,1635154200,8561739,DeKalb County,Illinois,62353,2459,26442.0,2340.0,63269,4455,85286,3737,50794,3442,30500.0,13001.0,,,23603.0,13084.0,,,63804.0,30393.0,49805.0,25805.0,65946,1568,64391.0,11235.0,38616,469,3690,455,34926,644,9.6,1.17253863306928,2968626238.98828,235223.936279475,614.0
19,00426598,17039,1029678323,19492326,De Witt County,Illinois,57727,5687,,,67917,12089,69200,7957,39821,8138,,,,,,,,,85729.0,71822.0,,,58213,5763,52941.0,43234.0,6732,175,904,165,5828,230,13.4,2.42599501187996,1799125676.27344,185445.249097382,615.0
20,00424222,17041,1079110222,1448702,Douglas County,Illinois,59620,3939,37634.0,20251.0,67041,6516,71975,6841,48033,5767,,,30263.0,6458.0,65298.0,37231.0,,,54000.0,35322.0,108617.0,42457.0,60413,4088,53304.0,25140.0,7600,174,1141,155,6459,211,15.0,2.0103004476051,1831282763.11719,185092.409752071,616.0
21,00422191,17043,848995066,22247645,DuPage County,Illinois,94930,1479,50358.0,2991.0,100022,1968,115431,2029,62944,1821,62712.0,3902.0,93750.0,34787.0,112142.0,3905.0,,,64492.0,5591.0,71055.0,7613.0,99901,1286,70158.0,2534.0,344314,1211,33521,1324,310793,1668,9.7,0.383005144033569,1571459541.62891,166072.937724962,617.0
22,00424224,17045,1614400676,1565052,Edgar County,Illinois,48543,4107,22159.0,7610.0,71414,9932,56687,8221,37402,5377,,,,,,,,,,,85147.0,58547.0,48884,4175,24290.0,14191.0,7851,198,953,167,6898,248,12.1,2.10497329867793,2731522800.08203,222709.970650885,618.0
23,00424225,17047,576012470,781202,Edwards County,Illinois,53801,2805,50625.0,10155.0,58182,8538,68917,11507,43293,4207,,,,,73750.0,41053.0,,,,,,,53788,2718,20833.0,5357.0,2756,96,458,87,2298,136,16.6,3.10322049965143,941016909.796875,168746.817433923,619.0
24,00424226,17049,1240005834,3174583,Effingham County,Illinois,59932,3301,37460.0,17812.0,66600,4204,74266,6491,41642,3117,44856.0,11897.0,83875.0,8581.0,88649.0,743.0,,,38942.0,9554.0,52768.0,34916.0,60322,3427,42607.0,10766.0,13856,210,1759,245,12097,315,12.7,1.75768797226704,2064765343.59766,186328.188505783,620.0
25,00424227,17051,1855583353,22915103,Fayette County,Illinois,45634,2969,30491.0,12793.0,52614,11140,62428,6384,31917,2300,,,,,,,,,,,,,45699,3130,,,7918,243,954,162,6964,246,12.0,2.0122806384475,3114746071.64844,262325.661533686,621.0
26,00424228,17053,1257690127,1640595,Ford County,Illinois,50582,5172,36795.0,14263.0,57371,7598,56471,6475,39775,3297,,,,,,,,,,,,,50765,4983,38333.0,33948.0,5824,138,918,135,4906,163,15.8,2.28770708592311,2186587577.79297,292279.119212234,622.0
27,00424229,17055,1059109158,58397116,Franklin County,Illinois,43671,2309,32981.0,9940.0,52262,3459,51708,2979,31352,3218,,,,,,,,,26728.0,25398.0,41402.0,7236.0,43914,2445,30954.0,15973.0,16207,260,1461,244,14746,324,9.0,1.49856045446041,1802216550.82031,196126.940001856,623.0
28,00424230,17057,2242109646,43927383,Fulton County,Illinois,52243,2343,26500.0,14629.0,59125,4069,60326,5524,44409,2614,,,,,,,,,178194.0,81921.0,,,52463,2439,,,14072,312,1557,203,12515,377,11.1,1.42156901424332,3954656165.60547,263757.446289732,624.0
29,00424231,17059,836413648,13357002,Gallatin County,Illinois,43092,6027,43036.0,22331.0,41712,14591,52500,8304,32037,8456,,,,,,,,,,,81250.0,13614.0,42829,5563,,,2274,104,233,67,2041,124,10.2,2.90884624863224,1361995669.45313,176544.463046448,625.0
30,00424232,17061,1406464909,8423898,Greene County,Illinois,51746,3839,51719.0,23860.0,60380,8151,59107,5877,40431,5487,,,,,,,,,,,30625.0,23212.0,51903,3931,31667.0,14499.0,4984,164,616,117,4368,172,12.4,2.31201475062911,2369711262.95313,233967.745765661,626.0
31,00424233,17063,1082940544,32131734,Grundy County,Illinois,75767,3387,56860.0,6920.0,86210,7728,94165,6264,43380,4569,85938.0,76872.0,,,126369.0,123412.0,,,45323.0,16725.0,65703.0,9915.0,76354,3568,66139.0,8233.0,20071,294,1348,230,18723,368,6.7,1.14170124372106,1976532872.73828,180124.03526415,627.0
32,00424234,17065,1125731578,3172088,Hamilton County,Illinois,55977,4778,,,60462,5143,62305,9439,45853,12363,,,,,,,,,,,,,55963,4877,,,3366,201,429,176,2937,243,12.7,5.17307288362435,1825007273.97656,172778.718654764,628.0
33,00424235,17067,2055798688,53563362,Hancock County,Illinois,55818,3216,47250.0,11466.0,64412,7988,68000,7691,40548,3357,,,,,,,,,,,,,56132,3311,70863.0,21556.0,7542,199,1145,154,6397,202,15.2,2.0022209523784,3641589888.73438,253333.466850443,629.0
34,00424236,17069,459435094,10485761,Hardin County,Illinois,50847,7574,16250.0,14967.0,67981,13937,57143,16376,46522,8149,,,,,,,,,,,,,51089,8374,,,1515,151,105,44,1410,155,6.9,2.82094367091935,748276159.109375,118534.406879813,630.0
35,00424237,17071,981068795,42565932,Henderson County,Illinois,55759,3334,32784.0,8240.0,71688,15302,66029,8414,42993,3335,,,,,,,,,,,35417.0,21099.0,56261,3183,,,3028,104,354,83,2674,118,11.7,2.71151356289775,1789075629.60156,201587.224779827,631.0
36,00424238,17073,2131719192,6804876,Henry County,Illinois,60000,2270,33269.0,5968.0,75629,5619,75189,6597,38628,3359,49338.0,34464.0,24118.0,16817.0,78438.0,48784.0,,,29327.0,18228.0,44643.0,36103.0,60241,2156,51875.0,25852.0,19996,336,1929,243,18067,424,9.6,1.20438323919737,3798533357.40625,249849.626665818,632.0
37,00424239,17075,2894039688,4241183,Iroquois County,Illinois,54445,3625,34160.0,6763.0,67531,6879,62111,5463,41215,3704,80888.0,16355.0,,,,,,,41375.0,16025.0,65083.0,11194.0,54796,3576,48906.0,16706.0,11845,234,1632,163,10213,288,13.8,1.3489211049732,5054826066.37891,284866.179991688,633.0
38,00424240,17077,1511439594,48312243,Jackson County,Illinois,39689,2442,16762.0,3739.0,40114,2849,55622,4397,45397,6204,24234.0,3444.0,2499.0,,,,43578.0,707.0,21731.0,16008.0,37161.0,8067.0,44350,2683,33168.0,12590.0,24208,512,2527,297,21681,572,10.4,1.20683873223215,2501437442.21875,225525.556661126,634.0
39,00424241,17079,1281043651,9334509,Jasper County,Illinois,55911,4724,66354.0,28576.0,61688,8849,66981,7035,39951,3014,,,,,,,,,,,36042.0,22782.0,56107,4839,,,3791,130,707,154,3084,200,18.6,4.01159683798249,2140166046.91016,184507.282302631,635.0
40,00424242,17081,1479490494,32550293,Jefferson County,Illinois,51662,2698,40200.0,11776.0,54162,4740,63539,6238,42391,3398,31366.0,4111.0,32188.0,30743.0,,,,,,,40717.0,7839.0,52823,2895,41714.0,25062.0,14792,330,1670,205,13122,382,11.3,1.36280469609253,2459014081.11328,198351.549708046,636.0
41,00424243,17083,957415216,20333974,Jersey County,Illinois,67845,6198,41685.0,17861.0,85162,12668,87778,11910,46913,7589,,,,,,,,,,,72917.0,11025.0,68405,6528,,,8158,283,766,184,7392,301,9.4,2.23181115768859,1625090367.08203,207684.775846185,637.0
42,00424244,17085,1556385345,45789931,Jo Daviess County,Illinois,59223,3078,36486.0,9453.0,61181,2748,74595,8214,51724,8720,52721.0,50991.0,,,61176.0,17475.0,,,,,38000.0,35089.0,59444,3430,59180.0,17370.0,10069,237,1628,239,8441,292,16.2,2.34291504419115,2936726272.64063,239464.744259255,638.0
43,00424245,17087,890269489,12818552,Johnson County,Illinois,55363,3179,,,61050,13819,67313,5700,45233,2057,46250.0,35025.0,,,,,,,,,45417.0,33957.0,55544,3180,,,4174,206,384,85,3790,205,9.2,1.98515439201754,1435796565.03125,162171.916505749,639.0
44,00424246,17089,1345149889,12474716,Kane County,Illinois,83374,1859,50142.0,7797.0,83109,4056,103430,2622,56347,1901,50492.0,5935.0,59792.0,24285.0,104912.0,16552.0,46027.0,15533.0,60350.0,3263.0,69033.0,9835.0,94165,2272,65462.0,2819.0,181845,967,17572,1144,164273,1468,9.7,0.627005067728245,2455381807.50781,210500.859714807,640.0
45,00424247,17091,1752101352,12458978,Kankakee County,Illinois,59370,2091,32619.0,11607.0,67849,4500,69254,3391,40889,2367,33761.0,4406.0,,,88081.0,61466.0,,,43036.0,8042.0,67973.0,16189.0,66427,2480,49159.0,9290.0,40297,604,3380,305,36917,714,8.4,0.746365718816998,3113829421.92188,247669.13350114,641.0
46,00424248,17093,829412776,5136525,Kendall County,Illinois,96854,3945,61250.0,14648.0,102417,6163,104729,4315,61181,4126,74150.0,32911.0,,,131276.0,65313.0,,,66982.0,26830.0,95682.0,43587.0,99620,5199,79829.0,12716.0,41398,354,4185,794,37213,836,10.1,1.91601797185932,1493170108.99219,154487.826823828,642.0
47,00424249,17095,1855427713,8837382,Knox County,Illinois,44464,2327,21107.0,10378.0,49466,6735,60550,2913,35495,2514,17989.0,3101.0,,,96563.0,58892.0,,,41136.0,29321.0,47250.0,10503.0,46164,2891,47813.0,9260.0,20428,399,1590,207,18838,430,7.8,1.00184602280882,3269431510.59375,230252.086285209,643.0
48,01784796,17097,1148954660,2395002634,Lake County,Illinois,92654,1515,42347.0,3918.0,93832,2386,116461,2627,65403,2153,49104.0,3780.0,61719.0,6984.0,129219.0,6093.0,,,60267.0,3715.0,76105.0,11225.0,103359,2047,64417.0,3500.0,248684,1072,25129,1102,223555,1391,10.1,0.440986610557585,2229669944.00391,199941.554777469,644.0
49,00422247,17099,2940059894,33708940,LaSalle County,Illinois,60069,1596,31936.0,5516.0,65038,2788,71560,3318,43828,2558,26719.0,18437.0,22813.0,8559.0,63125.0,45567.0,,,50880.0,12598.0,53125.0,13431.0,61064,1439,51950.0,7256.0,45089,525,4117,376,40972,585,9.1,0.827101302715672,5280700898.74219,335296.768218763,645.0
50,00424252,17101,963938126,5076516,Lawrence County,Illinois,53087,7478,27821.0,8367.0,61155,6711,61250,8751,37636,5536,58756.0,204.0,,,,,,,,,40368.0,30126.0,51250,5066,,,6166,330,570,136,5596,344,9.2,2.14943988253974,1594207907.39063,172614.29405852,646.0
51,00424253,17103,1877189070,9732924,Lee County,Illinois,59986,3816,46789.0,7743.0,70724,5283,67634,4709,42884,5496,,,,,70446.0,36360.0,,,63750.0,62756.0,73516.0,19530.0,59624,3863,67857.0,22371.0,13634,297,1293,190,12341,357,9.5,1.37817695261053,3392300066.68359,256121.485399709,647.0
52,00424254,17105,2702983878,5975815,Livingston County,Illinois,58676,3014,36750.0,15848.0,63701,5075,71599,5623,41678,6548,19330.0,18523.0,,,250001.0,,,,60089.0,34303.0,38385.0,29894.0,59525,2964,48869.0,24778.0,14366,284,1719,239,12647,373,12.0,1.64674724475074,4745068638.1875,298498.28455465,648.0
53,00424255,17107,1600748259,2262329,Logan County,Illinois,58122,2854,34559.0,12138.0,64829,6528,71941,8756,45783,3538,3906.0,312.0,,,63533.0,7540.0,,,,,,,59234,2953,37750.0,30671.0,10958,247,1192,179,9766,284,10.9,1.61500273619015,2744845913.71484,219838.404321455,649.0
54,01784729,17109,1526339603,2012552,McDonough County,Illinois,43591,4551,11321.0,4369.0,49037,10008,58984,9096,40556,4539,31250.0,14284.0,,,81500.0,73036.0,,,2499.0,,,,43835,4833,9738.0,5738.0,11573,398,1343,259,10230,421,11.6,2.20209654958951,2642617256.10938,205604.185625357,650.0
55,01784815,17111,1562786332,19872662,McHenry County,Illinois,90014,2200,49658.0,20194.0,94597,2712,108983,2483,56605,2518,99417.0,30165.0,39805.0,27815.0,109889.0,21164.0,,,74609.0,17190.0,79727.0,4319.0,93202,1675,72554.0,3608.0,113269,608,11337,749,101932,922,10.0,0.659071579187497,2897160809.82422,215553.066630561,651.0
56,01784833,17113,3064597287,7804856,McLean County,Illinois,68037,2128,18250.0,3619.0,74364,3873,87504,3615,54234,3277,28901.0,6466.0,,,96404.0,12967.0,,,56154.0,38338.0,46402.0,7093.0,70969,2028,46970.0,7296.0,66225,689,5021,394,61204,818,7.6,0.589689205325367,5317837640.95313,317772.59328615,652.0
57,00424256,17115,1503684112,13406665,Macon County,Illinois,53725,1750,26941.0,7495.0,56705,3776,63806,4244,45273,2555,30588.0,1891.0,28088.0,4952.0,83125.0,24580.0,,,59375.0,26822.0,55153.0,29272.0,58174,2069,51453.0,16688.0,43810,558,3175,305,40635,625,7.2,0.690041588202586,2577837452.57813,221304.567306393,653.0
58,00424257,17117,2235091603,12250027,Macoupin County,Illinois,56264,3300,33750.0,10394.0,67266,4395,66705,4446,44505,3031,18417.0,5742.0,8654.0,1764.0,101250.0,17196.0,,,2499.0,,36125.0,11132.0,57226,3416,43571.0,34520.0,18577,337,1853,234,16724,336,10.0,1.24655751326427,3753822445.09766,251161.071378349,654.0
59,00424258,17119,1853137786,63560244,Madison County,Illinois,64045,1578,30824.0,4413.0,72366,2653,77331,4078,48173,1928,30423.0,4222.0,,,72202.0,38359.0,42917.0,29114.0,35304.0,21082.0,47396.0,11453.0,68374,1424,45989.0,6154.0,108429,965,9128,757,99301,1158,8.4,0.694120903514399,3162972282.80078,254053.962975384,655.0
60,00424259,17121,1482865616,9234118,Marion County,Illinois,49925,2470,37177.0,9078.0,57375,9510,59069,5849,40271,2386,39063.0,25662.0,,,,,,,39245.0,33155.0,,,50455,2197,,,16126,256,1607,188,14519,307,10.0,1.1550357403561,2450000044.74219,199133.548098472,656.0
61,00424260,17123,1001843226,30364348,Marshall County,Illinois,57303,3497,37031.0,12491.0,69955,5626,68030,6531,44303,3962,,,,,,,,,,,45625.0,5693.0,57621,3320,41250.0,40856.0,4922,167,529,76,4393,188,10.7,1.50040982249403,1815737590.89453,206622.019783215,657.0
62,00424261,17125,1396914848,62748513,Mason County,Illinois,50883,2457,45947.0,12183.0,58636,10151,61970,8977,38951,3288,,,,,,,,,,,,,51535,2630,,,5917,178,642,124,5275,187,10.9,2.07008180954082,2507814137.91797,326851.375386236,658.0
63,01784730,17127,614217978,12784966,Massac County,Illinois,51195,5197,20762.0,1999.0,54906,8923,62215,6283,37371,5284,48854.0,25958.0,,,,,,,,,71771.0,1661.0,51599,5257,15133.0,7007.0,5619,280,448,111,5171,290,8.0,1.93507575673608,990538895.847656,144851.040533555,659.0
64,00424266,17129,814269349,2640418,Menard County,Illinois,77550,5810,37536.0,8803.0,89419,10548,89283,4174,63217,5941,,,,,,,,,,,67885.0,28685.0,78423,4639,,,5211,126,683,130,4528,160,13.1,2.47451072443448,1394841633.15625,197204.048337297,660.0
65,01784750,17131,1453604391,19411909,Mercer County,Illinois,57182,3231,19364.0,7354.0,64948,12924,74271,6232,44205,4313,,,,,49444.0,45209.0,,,,,,,57692,4072,50900.0,3643.0,6477,178,811,147,5666,211,12.5,2.24333126691501,2604685761.55078,215890.415921517,661.0
